paper_id,elo_rating
aa89c6bf86486e180833037333555e3492b15c8e,1753.5432332891633
69535d3c6ff3238f8e7b2b29c1d40ea9d9d7914f,1693.9650155481802
04c05c6acc970f2ca89af8e436b8dd8189396146,1693.579786264858
c226a4acb42912054d498bcf771023b0ba2da001,1679.2464201484465
82f59319e581cdfe16a97fe29bec6215ad818a81,1670.391680096199
7d6168fbd3ed72f9098573007f4b8c2ec9e576b9,1654.8312756598873
900cd128482bbab4d2752d01ce80c55498b78dd2,1654.6676467551922
9a75e23639bfcc3a51da57a3b682a984d1d8ac0b,1638.5519524041283
1f45c9d4d92c51a94c984eb4c2c6e027bbf78038,1634.367007867221
668858489bbec3ce45f7a84a6a557b329f9ec91a,1626.9085689490132
dd4cfde3e135f799a9a71b4f57e13a29de89f7e3,1614.0028113665467
2bdccbeffa0bae760f416a72ebe7a3951e230659,1607.7394197533094
1122b654f8b47c1aa9c04ff6bbe7561c798e2ad0,1580.8966554345252
0a42291d9543eabe33f6c14278333484071a707c,1573.182106733003
8db1d30ac06dde4bd19d0a86241137ac2be21552,1553.270720138429
3646acd0dc49a00d38517abccfc3a54cb78bbadc,1550.8536092107356
668075792a7ab40457d92e09da28d35c879271c3,1549.875544434808
c4ff8bc44d88cd267baf18ac5d3a3a1fe86d08eb,1549.140208519409
765051eee0fb1394b62555edb86ba1f7a00892fb,1532.379054982281
4aef44e4aeaf28868ae2f1fff2c4eb19ff4df1f6,1528.725204614724
24d9d00b91f99dde3c9a0ea5c79e63f2ed26151c,1520.5352644913692
10feab31bb9e71a0f1094fb00c0554abfb992c4d,1509.1526807072707
8d6411e337502f7fe0bfa59d486803a73d2c1192,1505.8344219608568
8e3b1f5d8b6c165f64137cc1f7dea89cf6f622bd,1483.3593207730767
0fe8f2f55046ad0b8d6337f57a78466790923264,1427.003381511484
bde841b0dbbf7a15ee69966a828c7fe2cf532ad9,1409.8636681577934
4f0e4a313a3f777b4b6aab4f364b9bc51a6aacc9,1403.9139445654632
c78350e81298ca87bc1d59b466fa40081232caaa,1388.271046421332
53106a642a12b05753ebe9ffca62d8efb0670281,1333.9840121765926
59084df7203c6be33838ba3e3854eb9bda053ed2,1331.1556832248646
182c7b40ff7560a5545764814338f55a2098e441,1328.2568962945209
d3f8d5a9c48ee9f338f25f1be5f3adc7fd5dd855,1313.537373738658
3714ed902e79dad5dcc93c5d033c8222d044f3c8,1285.4425450674578
95d638e7705ec561382268405bc488df4c26c7f7,1259.8170113396982
529ff7d6441d244212cf2becafd12a7e67ac56d9,1250.9712029605948
6c00f661c46391642208a5292f38b5a9e0e09cae,1243.4288770505125
2d906cda427cb2c4a71069423312e57ba4cd5445,1165.354747388395
