better_paper_id,worse_paper_id
2bdccbeffa0bae760f416a72ebe7a3951e230659,4aef44e4aeaf28868ae2f1fff2c4eb19ff4df1f6
2bdccbeffa0bae760f416a72ebe7a3951e230659,8e3b1f5d8b6c165f64137cc1f7dea89cf6f622bd
c78350e81298ca87bc1d59b466fa40081232caaa,8e3b1f5d8b6c165f64137cc1f7dea89cf6f622bd
c78350e81298ca87bc1d59b466fa40081232caaa,c226a4acb42912054d498bcf771023b0ba2da001
04c05c6acc970f2ca89af8e436b8dd8189396146,c226a4acb42912054d498bcf771023b0ba2da001
04c05c6acc970f2ca89af8e436b8dd8189396146,8d6411e337502f7fe0bfa59d486803a73d2c1192
8d6411e337502f7fe0bfa59d486803a73d2c1192,95d638e7705ec561382268405bc488df4c26c7f7
6c00f661c46391642208a5292f38b5a9e0e09cae,95d638e7705ec561382268405bc488df4c26c7f7
69535d3c6ff3238f8e7b2b29c1d40ea9d9d7914f,6c00f661c46391642208a5292f38b5a9e0e09cae
9a75e23639bfcc3a51da57a3b682a984d1d8ac0b,69535d3c6ff3238f8e7b2b29c1d40ea9d9d7914f
9a75e23639bfcc3a51da57a3b682a984d1d8ac0b,bde841b0dbbf7a15ee69966a828c7fe2cf532ad9
53106a642a12b05753ebe9ffca62d8efb0670281,bde841b0dbbf7a15ee69966a828c7fe2cf532ad9
0a42291d9543eabe33f6c14278333484071a707c,53106a642a12b05753ebe9ffca62d8efb0670281
0a42291d9543eabe33f6c14278333484071a707c,c4ff8bc44d88cd267baf18ac5d3a3a1fe86d08eb
c4ff8bc44d88cd267baf18ac5d3a3a1fe86d08eb,3714ed902e79dad5dcc93c5d033c8222d044f3c8
765051eee0fb1394b62555edb86ba1f7a00892fb,3714ed902e79dad5dcc93c5d033c8222d044f3c8
765051eee0fb1394b62555edb86ba1f7a00892fb,3646acd0dc49a00d38517abccfc3a54cb78bbadc
900cd128482bbab4d2752d01ce80c55498b78dd2,3646acd0dc49a00d38517abccfc3a54cb78bbadc
900cd128482bbab4d2752d01ce80c55498b78dd2,8db1d30ac06dde4bd19d0a86241137ac2be21552
182c7b40ff7560a5545764814338f55a2098e441,8db1d30ac06dde4bd19d0a86241137ac2be21552
182c7b40ff7560a5545764814338f55a2098e441,82f59319e581cdfe16a97fe29bec6215ad818a81
82f59319e581cdfe16a97fe29bec6215ad818a81,d3f8d5a9c48ee9f338f25f1be5f3adc7fd5dd855
d3f8d5a9c48ee9f338f25f1be5f3adc7fd5dd855,10feab31bb9e71a0f1094fb00c0554abfb992c4d
668858489bbec3ce45f7a84a6a557b329f9ec91a,10feab31bb9e71a0f1094fb00c0554abfb992c4d
668858489bbec3ce45f7a84a6a557b329f9ec91a,dd4cfde3e135f799a9a71b4f57e13a29de89f7e3
dd4cfde3e135f799a9a71b4f57e13a29de89f7e3,529ff7d6441d244212cf2becafd12a7e67ac56d9
529ff7d6441d244212cf2becafd12a7e67ac56d9,24d9d00b91f99dde3c9a0ea5c79e63f2ed26151c
24d9d00b91f99dde3c9a0ea5c79e63f2ed26151c,4f0e4a313a3f777b4b6aab4f364b9bc51a6aacc9
2d906cda427cb2c4a71069423312e57ba4cd5445,4f0e4a313a3f777b4b6aab4f364b9bc51a6aacc9
2d906cda427cb2c4a71069423312e57ba4cd5445,0fe8f2f55046ad0b8d6337f57a78466790923264
aa89c6bf86486e180833037333555e3492b15c8e,0fe8f2f55046ad0b8d6337f57a78466790923264
aa89c6bf86486e180833037333555e3492b15c8e,1f45c9d4d92c51a94c984eb4c2c6e027bbf78038
1f45c9d4d92c51a94c984eb4c2c6e027bbf78038,59084df7203c6be33838ba3e3854eb9bda053ed2
1122b654f8b47c1aa9c04ff6bbe7561c798e2ad0,59084df7203c6be33838ba3e3854eb9bda053ed2
1122b654f8b47c1aa9c04ff6bbe7561c798e2ad0,668075792a7ab40457d92e09da28d35c879271c3
7d6168fbd3ed72f9098573007f4b8c2ec9e576b9,668075792a7ab40457d92e09da28d35c879271c3
c226a4acb42912054d498bcf771023b0ba2da001,668858489bbec3ce45f7a84a6a557b329f9ec91a
c226a4acb42912054d498bcf771023b0ba2da001,69535d3c6ff3238f8e7b2b29c1d40ea9d9d7914f
69535d3c6ff3238f8e7b2b29c1d40ea9d9d7914f,4aef44e4aeaf28868ae2f1fff2c4eb19ff4df1f6
7d6168fbd3ed72f9098573007f4b8c2ec9e576b9,4aef44e4aeaf28868ae2f1fff2c4eb19ff4df1f6
7d6168fbd3ed72f9098573007f4b8c2ec9e576b9,8e3b1f5d8b6c165f64137cc1f7dea89cf6f622bd
8e3b1f5d8b6c165f64137cc1f7dea89cf6f622bd,10feab31bb9e71a0f1094fb00c0554abfb992c4d
10feab31bb9e71a0f1094fb00c0554abfb992c4d,95d638e7705ec561382268405bc488df4c26c7f7
668075792a7ab40457d92e09da28d35c879271c3,95d638e7705ec561382268405bc488df4c26c7f7
668075792a7ab40457d92e09da28d35c879271c3,53106a642a12b05753ebe9ffca62d8efb0670281
53106a642a12b05753ebe9ffca62d8efb0670281,182c7b40ff7560a5545764814338f55a2098e441
0fe8f2f55046ad0b8d6337f57a78466790923264,182c7b40ff7560a5545764814338f55a2098e441
1f45c9d4d92c51a94c984eb4c2c6e027bbf78038,0fe8f2f55046ad0b8d6337f57a78466790923264
1f45c9d4d92c51a94c984eb4c2c6e027bbf78038,24d9d00b91f99dde3c9a0ea5c79e63f2ed26151c
aa89c6bf86486e180833037333555e3492b15c8e,24d9d00b91f99dde3c9a0ea5c79e63f2ed26151c
aa89c6bf86486e180833037333555e3492b15c8e,59084df7203c6be33838ba3e3854eb9bda053ed2
c4ff8bc44d88cd267baf18ac5d3a3a1fe86d08eb,59084df7203c6be33838ba3e3854eb9bda053ed2
c4ff8bc44d88cd267baf18ac5d3a3a1fe86d08eb,4f0e4a313a3f777b4b6aab4f364b9bc51a6aacc9
4f0e4a313a3f777b4b6aab4f364b9bc51a6aacc9,3646acd0dc49a00d38517abccfc3a54cb78bbadc
0a42291d9543eabe33f6c14278333484071a707c,3646acd0dc49a00d38517abccfc3a54cb78bbadc
0a42291d9543eabe33f6c14278333484071a707c,8db1d30ac06dde4bd19d0a86241137ac2be21552
c78350e81298ca87bc1d59b466fa40081232caaa,8db1d30ac06dde4bd19d0a86241137ac2be21552
c78350e81298ca87bc1d59b466fa40081232caaa,bde841b0dbbf7a15ee69966a828c7fe2cf532ad9
04c05c6acc970f2ca89af8e436b8dd8189396146,bde841b0dbbf7a15ee69966a828c7fe2cf532ad9
04c05c6acc970f2ca89af8e436b8dd8189396146,1122b654f8b47c1aa9c04ff6bbe7561c798e2ad0
1122b654f8b47c1aa9c04ff6bbe7561c798e2ad0,6c00f661c46391642208a5292f38b5a9e0e09cae
6c00f661c46391642208a5292f38b5a9e0e09cae,3714ed902e79dad5dcc93c5d033c8222d044f3c8
9a75e23639bfcc3a51da57a3b682a984d1d8ac0b,3714ed902e79dad5dcc93c5d033c8222d044f3c8
9a75e23639bfcc3a51da57a3b682a984d1d8ac0b,765051eee0fb1394b62555edb86ba1f7a00892fb
2d906cda427cb2c4a71069423312e57ba4cd5445,765051eee0fb1394b62555edb86ba1f7a00892fb
2d906cda427cb2c4a71069423312e57ba4cd5445,d3f8d5a9c48ee9f338f25f1be5f3adc7fd5dd855
dd4cfde3e135f799a9a71b4f57e13a29de89f7e3,d3f8d5a9c48ee9f338f25f1be5f3adc7fd5dd855
2bdccbeffa0bae760f416a72ebe7a3951e230659,dd4cfde3e135f799a9a71b4f57e13a29de89f7e3
2bdccbeffa0bae760f416a72ebe7a3951e230659,8d6411e337502f7fe0bfa59d486803a73d2c1192
8d6411e337502f7fe0bfa59d486803a73d2c1192,529ff7d6441d244212cf2becafd12a7e67ac56d9
82f59319e581cdfe16a97fe29bec6215ad818a81,529ff7d6441d244212cf2becafd12a7e67ac56d9
900cd128482bbab4d2752d01ce80c55498b78dd2,82f59319e581cdfe16a97fe29bec6215ad818a81
900cd128482bbab4d2752d01ce80c55498b78dd2,2d906cda427cb2c4a71069423312e57ba4cd5445
2bdccbeffa0bae760f416a72ebe7a3951e230659,2d906cda427cb2c4a71069423312e57ba4cd5445
2bdccbeffa0bae760f416a72ebe7a3951e230659,4aef44e4aeaf28868ae2f1fff2c4eb19ff4df1f6
4aef44e4aeaf28868ae2f1fff2c4eb19ff4df1f6,c78350e81298ca87bc1d59b466fa40081232caaa
c78350e81298ca87bc1d59b466fa40081232caaa,95d638e7705ec561382268405bc488df4c26c7f7
24d9d00b91f99dde3c9a0ea5c79e63f2ed26151c,95d638e7705ec561382268405bc488df4c26c7f7
