paperId,title,pub_date,total_citations,a,b,R2,lead_author_id,last_author_id,citation_dates,citation_counts,lead_author_h_index,last_author_h_index,rank
dd4cfde3e135f799a9a71b4f57e13a29de89f7e3,DAPO: An Open-Source LLM Reinforcement Learning System at Scale,2025-03-18,770,93.11428571428571,63.43296703296704,0.8675937566539489,23716915,2285763682,"[""2025-04-01"", ""2025-05-01"", ""2025-06-01"", ""2025-07-01"", ""2025-08-01"", ""2025-09-01"", ""2025-10-01"", ""2025-11-01"", ""2025-12-01"", ""2026-01-01"", ""2026-02-01"", ""2026-03-01"", ""2026-04-01"", ""2026-05-01""]","[21, 54, 181, 265, 329, 422, 569, 741, 749, 749, 749, 749, 749, 749]",9.0,5.0,2
668075792a7ab40457d92e09da28d35c879271c3,Kimi k1.5: Scaling Reinforcement Learning with LLMs,2025-01-22,601,40.828571428571415,50.91648351648353,0.914092496127803,2341539673,2341579297,"[""2025-02-01"", ""2025-03-01"", ""2025-04-01"", ""2025-05-01"", ""2025-06-01"", ""2025-07-01"", ""2025-08-01"", ""2025-09-01"", ""2025-10-01"", ""2025-11-01"", ""2025-12-01"", ""2026-01-01"", ""2026-02-01"", ""2026-03-01""]","[10, 36, 82, 139, 274, 361, 414, 457, 513, 583, 584, 584, 584, 584]",1.0,2.0,3
c4ff8bc44d88cd267baf18ac5d3a3a1fe86d08eb,Training Language Models to Self-Correct via Reinforcement Learning,2024-09-19,267,-12.199999999999982,19.283516483516486,0.96257722316695,2317038858,2258552654,"[""2024-10-01"", ""2024-11-01"", ""2024-12-01"", ""2025-01-01"", ""2025-02-01"", ""2025-03-01"", ""2025-04-01"", ""2025-05-01"", ""2025-06-01"", ""2025-07-01"", ""2025-08-01"", ""2025-09-01"", ""2025-10-01"", ""2025-11-01""]","[12, 28, 28, 33, 41, 63, 86, 108, 148, 182, 188, 201, 222, 244]",4.0,5.0,7
182c7b40ff7560a5545764814338f55a2098e441,Reinforced Self-Training (ReST) for Language Modeling,2023-08-17,350,-4.199999999999998,13.404395604395607,0.97934244588122,146372255,1737568,"[""2023-09-01"", ""2023-10-01"", ""2023-11-01"", ""2023-12-01"", ""2024-01-01"", ""2024-02-01"", ""2024-03-01"", ""2024-04-01"", ""2024-05-01"", ""2024-06-01"", ""2024-07-01"", ""2024-08-01"", ""2024-09-01"", ""2024-10-01""]","[4, 14, 23, 30, 37, 50, 74, 92, 111, 122, 143, 147, 155, 159]",15.0,76.0,9
9a75e23639bfcc3a51da57a3b682a984d1d8ac0b,Language Models can Solve Computer Tasks,2023-03-30,435,-5.685714285714273,11.292307692307695,0.9837593339410006,2176466425,143953836,"[""2023-04-01"", ""2023-05-01"", ""2023-06-01"", ""2023-07-01"", ""2023-08-01"", ""2023-09-01"", ""2023-10-01"", ""2023-11-01"", ""2023-12-01"", ""2024-01-01"", ""2024-02-01"", ""2024-03-01"", ""2024-04-01"", ""2024-05-01""]","[2, 6, 21, 29, 37, 48, 56, 71, 83, 89, 100, 114, 140, 152]",3.0,19.0,10
1122b654f8b47c1aa9c04ff6bbe7561c798e2ad0,Reinforcement Learning for Reasoning in Large Language Models with One Training Example,2025-04-29,138,40.45714285714286,9.501098901098903,0.7829334981173772,2334890311,2324671790,"[""2025-05-01"", ""2025-06-01"", ""2025-07-01"", ""2025-08-01"", ""2025-09-01"", ""2025-10-01"", ""2025-11-01"", ""2025-12-01"", ""2026-01-01"", ""2026-02-01"", ""2026-03-01"", ""2026-04-01"", ""2026-05-01"", ""2026-06-01""]","[4, 33, 55, 74, 85, 102, 133, 135, 135, 135, 135, 135, 135, 135]",8.0,5.0,11
900cd128482bbab4d2752d01ce80c55498b78dd2,SWE-RL: Advancing LLM Reasoning via Reinforcement Learning on Open Software Evolution,2025-02-25,102,14.40000000000001,7.839560439560441,0.9009383971730187,2237736409,2324830843,"[""2025-03-01"", ""2025-04-01"", ""2025-05-01"", ""2025-06-01"", ""2025-07-01"", ""2025-08-01"", ""2025-09-01"", ""2025-10-01"", ""2025-11-01"", ""2025-12-01"", ""2026-01-01"", ""2026-02-01"", ""2026-03-01"", ""2026-04-01""]","[5, 13, 21, 42, 50, 54, 66, 83, 96, 97, 97, 97, 97, 97]",8.0,2.0,12
bde841b0dbbf7a15ee69966a828c7fe2cf532ad9,WebRL: Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning,2024-11-04,85,-10.813186813186809,7.648351648351649,0.9515219133522951,2286747770,2243402027,"[""2024-12-01"", ""2025-01-01"", ""2025-02-01"", ""2025-03-01"", ""2025-04-01"", ""2025-05-01"", ""2025-06-01"", ""2025-07-01"", ""2025-08-01"", ""2025-09-01"", ""2025-10-01"", ""2025-11-01"", ""2025-12-01""]","[1, 3, 4, 8, 11, 14, 33, 44, 49, 57, 67, 82, 83]",7.0,33.0,13
69535d3c6ff3238f8e7b2b29c1d40ea9d9d7914f,Reasoning with Exploration: An Entropy Perspective,2025-06-17,95,36.228571428571435,6.173626373626374,0.6082587092673627,2068324576,2253471545,"[""2025-07-01"", ""2025-08-01"", ""2025-09-01"", ""2025-10-01"", ""2025-11-01"", ""2025-12-01"", ""2026-01-01"", ""2026-02-01"", ""2026-03-01"", ""2026-04-01"", ""2026-05-01"", ""2026-06-01"", ""2026-07-01"", ""2026-08-01""]","[5, 15, 34, 65, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95]",8.0,15.0,18
10feab31bb9e71a0f1094fb00c0554abfb992c4d,ProRL: Prolonged Reinforcement Learning Expands Reasoning Boundaries in Large Language Models,2025-05-30,77,20.057142857142853,5.507692307692308,0.7172462470419474,2369203659,2359888593,"[""2025-06-01"", ""2025-07-01"", ""2025-08-01"", ""2025-09-01"", ""2025-10-01"", ""2025-11-01"", ""2025-12-01"", ""2026-01-01"", ""2026-02-01"", ""2026-03-01"", ""2026-04-01"", ""2026-05-01"", ""2026-06-01"", ""2026-07-01""]","[5, 12, 19, 28, 52, 74, 74, 74, 74, 74, 74, 74, 74, 74]",2.0,4.0,22
8e3b1f5d8b6c165f64137cc1f7dea89cf6f622bd,d1: Scaling Reasoning in Diffusion Large Language Models via Reinforcement Learning,2025-04-16,57,7.399999999999999,4.795604395604396,0.806981111608293,2260172378,2267723293,"[""2025-05-01"", ""2025-06-01"", ""2025-07-01"", ""2025-08-01"", ""2025-09-01"", ""2025-10-01"", ""2025-11-01"", ""2025-12-01"", ""2026-01-01"", ""2026-02-01"", ""2026-03-01"", ""2026-04-01"", ""2026-05-01"", ""2026-06-01""]","[1, 6, 11, 16, 21, 37, 56, 56, 56, 56, 56, 56, 56, 56]",6.0,3.0,26
